casa,PC1,PC2
MAC000331,-0.7512280148000554,-0.2695080436645405
MAC000332,-0.5167164145578893,1.3876581127375127
MAC000333,-1.3547185312854477,-0.39945403530442647
MAC000334,-0.793005871365034,-0.533214359788157
MAC000335,-0.793005871365034,-0.533214359788157
MAC000336,0.5631385179943246,-0.012916297164807244
MAC000337,-0.793005871365034,-0.533214359788157
MAC000338,-0.5594447615940144,0.5368722242215704
MAC000339,1.1675795249508631,0.7041092668674046
MAC000340,0.5631385179943246,-0.012916297164807244
MAC000341,0.044996245362524334,1.253897788253782
MAC000342,-0.5594447615940144,0.5368722242215704
MAC000343,-0.793005871365034,-0.533214359788157
MAC000344,0.3295774082233049,-1.0830028811745347
MAC000345,0.5631385179943246,-0.012916297164807244
MAC000346,-0.5594447615940144,0.5368722242215704
MAC000347,-0.1885648644084953,0.18381120424405484
MAC000348,-0.793005871365034,-0.533214359788157
MAC000349,0.9340184151798437,-0.36597731714232284
MAC000350,-0.5812168703354376,0.3897780209302122
MAC000351,-0.793005871365034,-0.533214359788157
MAC000352,0.044996245362524334,1.253897788253782
MAC000353,-0.793005871365034,-0.533214359788157
MAC000354,0.3931273735297066,-0.6722023617595598
MAC000355,0.0014258580739108795,0.12084402731892328
MAC000357,1.1675795249508631,0.7041092668674046
MAC000358,-0.7294559060586322,-0.12241384037318223
MAC000359,1.1675795249508631,0.7041092668674046
MAC000360,1.1675795249508631,0.7041092668674046
MAC000361,1.1675795249508631,0.7041092668674046
MAC000362,0.9340184151798437,-0.36597731714232284
MAC000363,-1.3547185312854477,-0.39945403530442647
MAC000364,0.9340184151798437,-0.36597731714232284
MAC000365,0.3295774082233049,-1.0830028811745347
MAC000366,-1.3547185312854477,-0.39945403530442647
MAC000367,-1.3547185312854477,-0.39945403530442647
MAC000368,0.9340184151798437,-0.36597731714232284
MAC000369,-0.5594447615940144,0.5368722242215704
MAC000370,0.5631385179943246,-0.012916297164807244
MAC000371,0.3295774082233049,-1.0830028811745347
MAC000372,-1.121157421514428,0.670632548705301
MAC000373,-0.5594447615940144,0.5368722242215704
MAC000374,0.3295774082233049,-1.0830028811745347
MAC000375,-0.793005871365034,-0.533214359788157
MAC000376,-1.121157421514428,0.670632548705301
MAC000377,0.3295774082233049,-1.0830028811745347
MAC000378,0.3295774082233049,-1.0830028811745347
MAC000379,-0.7294559060586322,-0.12241384037318223
MAC000380,-0.793005871365034,-0.533214359788157
MAC000381,1.1675795249508631,0.7041092668674046
MAC000382,-0.5167164145578893,1.3876581127375127
MAC000383,-0.8147779801064573,-0.6803085630795151
MAC000384,0.3295774082233049,-1.0830028811745347
MAC000385,0.3295774082233049,-1.0830028811745347
MAC000386,-0.5594447615940144,0.5368722242215704
MAC000387,-0.5594447615940144,0.5368722242215704
MAC000388,-1.121157421514428,0.670632548705301
MAC000389,0.5631385179943246,-0.012916297164807244
MAC000390,-0.5594447615940144,0.5368722242215704
MAC000391,0.044996245362524334,1.253897788253782
MAC000392,0.3295774082233049,-1.0830028811745347
MAC000394,0.5631385179943246,-0.012916297164807244
MAC000395,0.5631385179943246,-0.012916297164807244
MAC000396,0.5631385179943246,-0.012916297164807244
MAC000397,-1.121157421514428,0.670632548705301
MAC000398,0.5631385179943246,-0.012916297164807244
MAC000399,0.3295774082233049,-1.0830028811745347
MAC000400,0.3295774082233049,-1.0830028811745347
MAC000401,-0.5594447615940144,0.5368722242215704
MAC000402,1.1675795249508631,0.7041092668674046
MAC000403,-1.121157421514428,0.670632548705301
MAC000404,0.3295774082233049,-1.0830028811745347
MAC000405,-0.5594447615940144,0.5368722242215704
MAC000406,-0.793005871365034,-0.533214359788157
MAC000407,-0.23213525169710875,-0.949242556690804
MAC000408,-1.3547185312854477,-0.39945403530442647
MAC000409,-0.7294559060586322,-0.12241384037318223
MAC000411,-1.3547185312854477,-0.39945403530442647
MAC000412,0.5631385179943246,-0.012916297164807244
MAC000413,-1.3547185312854477,-0.39945403530442647
MAC000414,0.5631385179943246,-0.012916297164807244
MAC000415,-0.7512280148000554,-0.2695080436645405
MAC000416,-1.121157421514428,0.670632548705301
MAC000417,0.3295774082233049,-1.0830028811745347
MAC000418,0.9340184151798437,-0.36597731714232284
MAC000419,0.5631385179943246,-0.012916297164807244
MAC000420,0.3931273735297066,-0.6722023617595598
MAC000421,0.3295774082233049,-1.0830028811745347
MAC000422,0.3295774082233049,-1.0830028811745347
MAC000423,-0.793005871365034,-0.533214359788157
MAC000424,0.3295774082233049,-1.0830028811745347
MAC000425,0.044996245362524334,1.253897788253782
MAC000426,1.1675795249508631,0.7041092668674046
MAC000427,-0.1885648644084953,0.18381120424405484
MAC000428,0.5631385179943246,-0.012916297164807244
MAC000429,0.5631385179943246,-0.012916297164807244
MAC000430,0.0014258580739108795,0.12084402731892328
MAC000431,0.9975683804862455,0.04482320227265202
MAC000433,0.5631385179943246,-0.012916297164807244
MAC000434,-0.5594447615940144,0.5368722242215704
MAC000435,0.3295774082233049,-1.0830028811745347
MAC000436,-0.793005871365034,-0.533214359788157
MAC000437,0.3931273735297066,-0.6722023617595598
MAC000438,0.9340184151798437,-0.36597731714232284
MAC000439,0.5631385179943246,-0.012916297164807244
MAC000440,-0.16858528639070697,-0.5384420372758293
MAC000441,-0.7294559060586322,-0.12241384037318223
MAC000442,-0.793005871365034,-0.533214359788157
MAC000443,-0.7294559060586322,-0.12241384037318223
MAC000444,-0.793005871365034,-0.533214359788157
MAC000445,-0.5594447615940144,0.5368722242215704
MAC000446,0.044996245362524334,1.253897788253782
MAC000447,0.5631385179943246,-0.012916297164807244
MAC000448,0.3295774082233049,-1.0830028811745347
MAC000449,0.9340184151798437,-0.36597731714232284
MAC000450,-0.7294559060586322,-0.12241384037318223
MAC000451,0.3931273735297066,-0.6722023617595598
MAC000452,-0.7294559060586322,-0.12241384037318223
MAC000453,-0.5594447615940144,0.5368722242215704
MAC000454,1.1675795249508631,0.7041092668674046
MAC000455,-1.2911685659790457,0.011346484110548297
MAC000456,-0.5594447615940144,0.5368722242215704
MAC000457,0.3295774082233049,-1.0830028811745347
MAC000458,0.9340184151798437,-0.36597731714232284
MAC000459,-0.793005871365034,-0.533214359788157
MAC000460,-0.1250148991020935,0.5946117236590296
MAC000461,-0.1250148991020935,0.5946117236590296
MAC000462,0.5631385179943246,-0.012916297164807244
MAC000463,-0.1250148991020935,0.5946117236590296
