casa,cluster_consumo,horario_consumo,semanal,tipo_consumo,cluster_kmeans_final,cluster_dbscan_final
MAC000082,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000083,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,-1
MAC000084,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,3
MAC000085,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,11
MAC000086,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,5,-1
MAC000087,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000088,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,3
MAC000089,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000090,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,10
MAC000091,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000092,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000093,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,0
MAC000094,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000095,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000096,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,6
MAC000097,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000098,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000099,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000100,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,3
MAC000101,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,5
MAC000102,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000103,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,11
MAC000104,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,0
MAC000105,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000106,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,5
MAC000107,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000108,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000109,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000110,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,11
MAC000111,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000112,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,5
MAC000113,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,6
MAC000114,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000115,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,0
MAC000116,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000117,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,0
