LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,consumo_mediana,dias_registrados,dias_consumo_cero,energy_count_promedio,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana,stdorToU,Acorn,Acorn_grouped,ratio_invierno_verano,ratio_finde_semana,coef_variacion_diario,intensidad_pico_diario,pct_dias_consumo_cero,ratio_invierno_verano_clip,ratio_finde_semana_clip,coef_variacion_diario_clip,intensidad_pico_diario_clip
MAC002885,4966.3790007,8.195344885643564,6.243018490057174,31.433000000000003,0.058,5.906499999999999,606,0,47.80858085808581,8.933855556111112,8.431675824725275,11.376717395652173,5.1122500006578955,6.905651163953489,8.706467743087558,Std,ACORN-D,Affluent,1.7475385216730193,0.7931632637441195,0.7617760833003477,3.8354695992836225,0.0,1.7475385216730193,0.7931632637441195,0.7617760833003477,3.8354695992836225
MAC002886,2159.5979996,3.563693068646865,1.5750321467716275,7.6960000000000015,0.0819999999999999,3.899000000000001,606,0,47.803630363036305,3.2711611100000004,3.962351647802198,3.4248478250000005,3.5168092105263162,3.6107674412790702,3.545036865668203,ToU,ACORN-P,Adversity,0.9301500263531274,1.0185412901361148,0.44196614985238264,2.159556867607935,0.0,0.9301500263531274,1.0185412901361148,0.44196614985238264,2.159556867607935
MAC002887,5143.1610002,9.542042671985158,2.8670023122194426,19.988,0.316,8.895,539,0,47.781076066790355,10.344690269911505,9.760214287362636,9.318402169565218,8.81946710394737,9.463896103246753,9.57330129948052,Std,ACORN-Q,Adversity,1.1729381123654707,0.9885717391124584,0.300459986432129,2.094729461224697,0.0,1.1729381123654707,0.9885717391124584,0.300459986432129,2.094729461224697
MAC002888,1819.8389998999999,3.0079983469421485,1.9028034266742209,10.7869999,0.043,2.428999999999998,605,0,47.651239669421486,3.1357944444444446,2.815587911538461,3.1768888888888887,2.9871830065359477,3.4589824543859646,2.830306452073733,Std,ACORN-E,Affluent,1.049749341715588,1.222122512468251,0.6325810637587271,3.5861044687279517,0.0,1.049749341715588,1.222122512468251,0.6325810637587271,3.5861044687279517
MAC002889,3114.9740005000003,5.1402211229372945,1.6122715335482243,11.236,0.041,4.859999999999999,606,0,47.805280528052805,6.017061111666667,5.31785164945055,4.899597827173913,4.034809211184211,5.369546510465117,5.0493364071428575,Std,ACORN-H,Comfortable,1.4912872717006107,1.0634160638323134,0.31365794998503266,2.1858977552470775,0.0,1.4912872717006107,1.0634160638323134,0.31365794998503266,2.1858977552470775
MAC002890,1137.137,1.8764636963696368,0.5813345755780512,4.058000000000002,0.0069999999999999,1.8760000000000001,606,0,47.80858085808581,2.3149111111111114,1.669401098901099,1.8708478260869565,1.6085789473684209,1.8598197674418606,1.8830599078341015,Std,ACORN-F,Comfortable,1.4391023056691854,0.9876577861631821,0.3098030976563263,2.162577323117745,0.0,1.4391023056691854,0.9876577861631821,0.3098030976563263,2.162577323117745
MAC002891,3673.2160002,6.061412541584159,2.7875528406634924,19.142,0.027,5.767,606,0,47.81353135313531,7.896805556666666,5.688104395604395,4.9183260869565215,5.026776315789474,5.84154069883721,6.14855069124424,ToU,ACORN-D,Affluent,1.570947957424377,0.9500677545178281,0.4598849462323539,3.1580092446550365,0.0,1.570947957424377,0.9500677545178281,0.4598849462323539,3.1580092446550365
MAC002892,4930.2340001,8.122296540527183,3.7981409719105206,23.460999999999995,0.477,7.077999999999999,607,0,47.88138385502471,9.342027779999999,8.596719777472527,7.032913041304347,6.77802614640523,8.105040695348837,8.12911954137931,Std,ACORN-K,Adversity,1.3782812576893562,0.9970378288883895,0.46761903918924896,2.888468426936899,0.0,1.3782812576893562,0.9970378288883895,0.46761903918924896,2.888468426936899
MAC002893,5551.684,9.161194719471947,1.6875810804682,16.004,0.102,9.147999999999996,606,0,47.81188118811881,10.330211112222223,9.24785164945055,8.577739127173913,8.026217104605264,9.499656976744186,9.027057603686636,Std,ACORN-O,Adversity,1.287058360187718,1.0523535288520829,0.1842096962169773,1.7469335324846085,0.0,1.287058360187718,1.0523535288520829,0.1842096962169773,1.7469335324846085
MAC002894,8125.458999500001,13.4083481839934,2.509711576931972,19.9419998,0.446,13.576500000000001,606,0,47.805280528052805,13.405538887222225,13.834961539560439,13.638554345652176,12.761526314473684,13.816226748255813,13.246700458064517,ToU,ACORN-F,Comfortable,1.050465085947677,1.0429937439138537,0.18717528477912942,1.4872822542394954,0.0,1.050465085947677,1.0429937439138537,0.18717528477912942,1.4872822542394954
MAC002895,4165.3029999,6.873437293564357,1.2057969669792175,10.506000000000002,0.057,6.968000000000002,606,0,47.81023102310231,7.045144445,6.5165439560439555,6.8661304326086965,7.101855263157894,7.069063952906977,6.795907834101382,ToU,ACORN-E,Affluent,0.9920145077488971,1.0401940528446942,0.17542849960669796,1.528492662811396,0.0,0.9920145077488971,1.0401940528446942,0.17542849960669796,1.528492662811396
MAC002896,10926.6829997,18.030830032508252,4.485574076775808,36.79899999999999,0.159,17.9585,606,0,47.7986798679868,20.258861109444446,18.96852198076923,17.053336957608696,14.86124999605263,17.281604646511628,18.327758065668203,Std,ACORN-E,Affluent,1.3632002524434519,0.9429196763549644,0.24877245362061515,2.0408931753425077,0.0,1.3632002524434519,0.9429196763549644,0.24877245362061515,2.0408931753425077
MAC002897,7854.681998200001,19.835055551010104,4.6344370885863,32.5620001,0.351,20.798499950000007,396,0,47.823232323232325,22.81217777,21.17889010879121,20.710673902173912,16.007520325203252,21.229374983035715,19.285183098943662,ToU,ACORN-E,Affluent,1.4250911997276596,1.1008126691514728,0.23364879634539235,1.6416388839759457,0.0,1.4250911997276596,1.1008126691514728,0.23364879634539235,1.6416388839759457
MAC002898,1236.349,2.0401798679867986,1.2859983132994022,6.540999999999999,0.016,1.8559999999999994,606,0,47.801980198019805,2.722183333333333,1.7074175824175823,2.1816956521739126,1.5453289473684209,1.576639534883721,2.2238870967741935,Std,ACORN-Q,Adversity,1.7615547656790087,0.7089563261616791,0.6303354440179582,3.206088294737564,0.0,1.7615547656790087,0.7089563261616791,0.6303354440179582,3.206088294737564
