LCLid,dias_registrados,fecha_min,fecha_max,consumo_total,consumo_medio_diario,consumo_max_dia,consumo_std_diario
MAC004874,788,2012-01-03,2014-02-28,7538.0929999,9.5661078678934,15.258000000000004,1.642361807746127
MAC004875,787,2012-01-04,2014-02-28,3977.3529996,5.053815755527319,12.857999999999995,1.3578636768068617
MAC004876,787,2012-01-04,2014-02-28,18465.4819937,23.463128327445997,64.50200019999998,10.839508526533493
MAC004877,786,2012-01-05,2014-02-28,29808.4060025,37.92418066475827,89.73299959999994,19.60528640882764
MAC004878,785,2012-01-06,2014-02-28,11215.3109999,14.287020382038218,24.683999900000003,2.7718211155761763
MAC004879,785,2012-01-06,2014-02-28,8754.5910002,11.152345223184714,32.78400020000001,5.30093265698563
MAC004880,594,2012-01-07,2013-08-22,13246.897001000001,22.301173402356905,70.76399959999999,14.669303430918765
MAC004881,782,2012-01-09,2014-02-28,7136.8640000000005,9.126424552429668,31.70700009999999,3.0323234031676853
MAC004882,781,2012-01-10,2014-02-28,7891.3310016000005,10.104137005889886,17.810000100000003,2.480244851822651
MAC004883,492,2012-01-10,2013-05-15,1518.1019998,3.085573170325203,9.685000000000002,1.0170596601702317
MAC004884,781,2012-01-10,2014-02-28,19746.743996,25.283923170294496,56.53999979999998,15.094975047808846
MAC004885,781,2012-01-10,2014-02-28,1739.7760002999996,2.227626120742637,8.464999999999998,1.3707154487377826
MAC004886,779,2012-01-12,2014-02-28,13907.807001000001,17.853410784338898,31.6129999,5.356488062358433
MAC004887,779,2012-01-12,2014-02-28,5349.6129996,6.86728241283697,17.8750001,2.836711217657685
MAC004888,448,2012-01-12,2013-04-03,12432.7270003,27.751622768526783,61.9619994,8.689656926939017
MAC004889,779,2012-01-12,2014-02-28,6039.0400005,7.752297818356868,20.019,1.9329010938369384
MAC004890,779,2012-01-12,2014-02-28,14792.2070003,18.98871245224647,40.89400010000001,5.9351967673613535
MAC004891,778,2012-01-13,2014-02-28,2441.4429995,3.138101541773779,13.010000000000002,3.1607124727034703
MAC004892,778,2012-01-13,2014-02-28,7847.1829997,10.086353470051414,20.436999799999995,2.1292182050368362
MAC004893,415,2012-01-14,2013-03-03,2065.3350001999997,4.976710843855421,13.027,2.2183289156280237
MAC004894,777,2012-01-14,2014-02-28,14385.112001000001,18.51365765894466,35.241000299999996,4.182914178442066
MAC004895,777,2012-01-14,2014-02-28,12285.3700012,15.811287002831405,36.7900001,6.610763528580106
MAC004896,712,2012-01-16,2014-02-28,2454.19,3.4468960674157305,7.727,1.3182665995309146
MAC004897,775,2012-01-16,2014-02-28,13751.3010021,17.743614196258065,42.52899999999999,9.639883831229387
MAC004898,775,2012-01-16,2014-02-28,4992.2609997,6.441627096387097,12.815999999999995,1.5161328056296344
MAC004899,775,2012-01-16,2014-02-28,5816.5530003,7.505229677806452,25.958,4.044277323019372
MAC004900,775,2012-01-16,2014-02-28,18836.5789989,24.305263224387097,55.35100030000001,8.725885840422748
MAC004901,775,2012-01-16,2014-02-28,15582.5100133,20.10646453329032,49.19899990000001,10.17364674643382
MAC004902,775,2012-01-16,2014-02-28,16837.9949963,21.726445156516128,45.08599930000001,9.614299994155134
MAC004903,775,2012-01-16,2014-02-28,12765.1009969,16.47109806051613,41.521999999999984,9.610706935357259
MAC004904,773,2012-01-17,2014-02-28,1403.1529999999998,1.8152043984476065,3.0810000000000004,0.3081226660571103
MAC004905,774,2012-01-17,2014-02-28,4315.6810000000005,5.5758152454780365,8.842000000000004,1.1310296929519905
MAC004906,774,2012-01-17,2014-02-28,3399.3489999000003,4.39192377248062,7.814999999999999,1.998531002782157
MAC004907,758,2012-01-18,2014-02-28,3825.4420004,5.04675725646438,9.973,1.8469556260135929
MAC004908,773,2012-01-18,2014-02-28,24858.8560033,32.15893402755498,73.19499950000002,15.85567267568411
MAC004909,773,2012-01-18,2014-02-28,12151.3259954,15.719697277360932,34.8509997,6.9882463169099776
MAC004910,773,2012-01-18,2014-02-28,5962.91,7.71398447606727,10.718999999999998,0.7705730185782321
MAC004911,772,2012-01-19,2014-02-28,8532.5729995,11.052555698834198,21.3959999,3.7113641252506127
MAC004912,773,2012-01-18,2014-02-28,5960.566,7.71095213454075,19.428,0.9746112545250349
MAC004913,772,2012-01-19,2014-02-28,5081.2509999,6.581931347020726,35.36799999999999,7.218335501770725
MAC004914,772,2012-01-19,2014-02-28,5117.3280002,6.628663212694301,16.837999999999994,1.4509817300876688
MAC004915,772,2012-01-19,2014-02-28,1711.6260003,2.2171321247409326,14.045000000000002,1.344017698200939
MAC004916,772,2012-01-19,2014-02-28,3664.623,4.746920984455959,8.552999999999999,0.8253314612365992
MAC004917,767,2012-01-19,2014-02-28,10840.5489988,14.133701432594526,42.14300000000001,4.676694731408406
MAC004918,772,2012-01-19,2014-02-28,4466.152,5.7851709844559585,12.845,1.6890776473779001
MAC004919,772,2012-01-19,2014-02-28,7707.9909982,9.984444298186528,38.48299960000001,5.636222642450778
MAC004920,772,2012-01-19,2014-02-28,4944.6989981,6.405050515673575,19.106000199999997,3.138085510750724
MAC004921,772,2012-01-19,2014-02-28,6266.3530017,8.117037566968913,18.15999990000001,2.403788279258495
MAC004922,771,2012-01-20,2014-02-28,16436.1120002,21.317914397146563,54.1379999,8.33490718674463
MAC004923,771,2012-01-20,2014-02-28,18608.8080002,24.135937743450064,78.2620002,14.635599655893687
MAC004924,771,2012-01-20,2014-02-28,4404.7570009,5.713044099740597,12.374999999999998,1.4006650526818025
MAC004925,771,2012-01-20,2014-02-28,12117.163001,15.716164722438393,41.0460001,5.959678884319108
MAC004926,771,2012-01-20,2014-02-28,3056.5310001000003,3.964372243968872,10.636999999999995,1.5633568672808569
MAC004927,771,2012-01-20,2014-02-28,5937.2399998,7.700700388845655,18.178,3.133292642976284
MAC004928,771,2012-01-20,2014-02-28,7883.6299982,10.22520103527886,32.238,5.192837428283019
MAC004929,771,2012-01-20,2014-02-28,9516.0489984,12.34247600311284,26.8489998,3.6811567950362885
MAC004930,771,2012-01-20,2014-02-28,8096.838000000001,10.501735408560313,15.624,1.2717296106593277
MAC004931,742,2012-01-20,2014-01-30,2146.217,2.8924757412398923,9.997000000000003,1.7678990466016673
MAC004932,771,2012-01-20,2014-02-28,9406.8000001,12.200778210246433,40.01300000000001,4.301182736052863
MAC004933,771,2012-01-20,2014-02-28,4055.0860000000002,5.259514915693904,13.267,1.8160976047124138
MAC004934,771,2012-01-20,2014-02-28,7352.636999400001,9.536494162645916,15.206999999999995,1.448370490214547
MAC004935,771,2012-01-20,2014-02-28,4042.2020002,5.24280415071336,13.6019999,1.7869242990352414
MAC004936,771,2012-01-20,2014-02-28,7179.2780002,9.311644617639429,25.64500000000001,3.2880687704379348
MAC004937,771,2012-01-20,2014-02-28,6320.8859998,8.198295719584955,24.051,3.4161417282420925
MAC004938,770,2012-01-21,2014-02-28,4255.993,5.527263636363637,11.1460002,1.3010820170480604
MAC004939,404,2012-01-21,2013-02-27,5031.7989988,12.454948016831683,30.4700002,6.316162955381547
MAC004940,770,2012-01-21,2014-02-28,5779.2240004000005,7.505485714805196,16.124000000000002,2.183556561055213
MAC004941,770,2012-01-21,2014-02-28,2527.0750003000003,3.281915584805195,7.553000000000003,1.1784421459424599
MAC004942,542,2012-01-21,2013-07-15,6441.5099998000005,11.884704796678967,38.7229998,6.215586525520214
MAC004943,770,2012-01-21,2014-02-28,5019.8840006,6.5193298709090906,60.6440005,4.96446327073708
MAC004944,752,2012-01-21,2014-02-10,12408.2470008,16.500328458510637,52.786,7.988917536611915
MAC004945,770,2012-01-21,2014-02-28,7491.5539998,9.72929090883117,28.913000300000004,4.088719607155388
MAC004946,770,2012-01-21,2014-02-28,5185.8010003,6.734806493896103,13.407,1.7163373128184194
MAC004947,770,2012-01-21,2014-02-28,9526.0839992,12.371537661298701,27.992999699999995,4.566310298187928
MAC004948,770,2012-01-21,2014-02-28,3749.5030003,4.869484415974026,14.0519999,2.1808821556938356
MAC004949,593,2012-01-21,2013-09-04,14744.9979969,24.865089370826308,73.19099949999998,13.619364979621587
MAC004950,768,2012-01-23,2014-02-28,12536.691,16.32381640625,60.784000000000006,2.6757460500818087
MAC004951,768,2012-01-23,2014-02-28,2543.415,3.31173828125,5.347,0.5004312382767443
MAC004952,768,2012-01-23,2014-02-28,8920.0089983,11.614595049869791,28.018,3.3230122527742276
MAC004953,768,2012-01-23,2014-02-28,11499.1429966,14.972842443489583,33.545000000000016,6.453465080128685
MAC004954,768,2012-01-23,2014-02-28,15682.5870012,20.4200351578125,48.34600050000002,13.854026065085554
MAC004955,768,2012-01-23,2014-02-28,7612.3819996,9.911955728645834,20.133999900000006,3.2846488744450157
MAC004956,768,2012-01-23,2014-02-28,6267.9670006,8.161415365364583,19.9010001,2.912566254194844
MAC004957,768,2012-01-23,2014-02-28,1968.9379999,2.5637213540364585,11.179,1.1894355089346587
MAC004958,768,2012-01-23,2014-02-28,22037.1340079,28.69418490611979,73.33500050000002,13.289247839053607
MAC004959,768,2012-01-23,2014-02-28,8792.2710017,11.448269533463543,27.32,4.216213872395139
MAC004960,768,2012-01-23,2014-02-28,9146.1529999,11.909053385286457,18.886,2.1911912913334746
MAC004961,415,2012-01-23,2013-03-12,3748.5670005,9.03269156746988,21.119000000000003,3.7321635103361963
MAC004962,768,2012-01-23,2014-02-28,3818.6979999,4.972263020703125,8.696000000000002,1.0922119597865205
MAC004963,768,2012-01-23,2014-02-28,3750.2290000000003,4.883110677083334,14.945999999999998,1.5595746342064027
MAC004964,768,2012-01-23,2014-02-28,8946.8500007,11.649544271744793,18.850000100000003,3.0366788302468546
MAC004965,768,2012-01-23,2014-02-28,7569.1270003,9.855634114973958,24.9830001,4.171997429660009
MAC004966,767,2012-01-24,2014-02-28,2541.3380001,3.313348109647979,14.428000100000006,2.1878875782984006
MAC004967,767,2012-01-24,2014-02-28,4977.323,6.489338983050848,14.997999999999996,1.9198477242787466
MAC004968,583,2012-01-24,2013-08-28,2932.1850002,5.0294768442538595,13.179999999999994,2.4717920606017025
MAC004969,767,2012-01-24,2014-02-28,3696.7879996,4.819801824771838,8.486,1.0607231598117135
MAC004970,767,2012-01-24,2014-02-28,20680.8249899,26.963265958148632,88.28000099999996,19.722177130674197
MAC004971,767,2012-01-24,2014-02-28,4329.1329996,5.644241198956975,44.8009999,4.3815029860513475
MAC004972,767,2012-01-24,2014-02-28,6173.8019998,8.049285527770534,12.252999899999995,1.761567147014953
MAC004973,600,2012-07-09,2014-02-28,3427.3490005999997,5.712248334333333,23.864,3.8720079197844504
MAC004974,766,2012-01-25,2014-02-28,6404.6740001,8.361193211618799,15.016000000000002,1.5092665966743388
MAC004975,766,2012-01-25,2014-02-28,3943.0139993000003,5.147537858093995,16.243,2.701241728521087
MAC004976,603,2012-01-25,2013-09-18,10307.9260016,17.09440464610282,62.47299949999999,6.497540576659679
MAC004977,766,2012-01-25,2014-02-28,4364.408,5.6976605744125335,10.707,1.5355156140287887
MAC004978,766,2012-01-25,2014-02-28,10147.6170003,13.247541775848564,40.1579999,6.507179218097426
MAC004979,766,2012-01-25,2014-02-28,5332.0320001,6.960877284725848,11.121999999999996,1.5551254198976152
MAC004980,766,2012-01-25,2014-02-28,10323.4119963,13.477039159660574,32.8989999,5.064262390719777
MAC004981,766,2012-01-25,2014-02-28,4876.954000000001,6.366780678851176,9.729000000000005,1.1593583266674425
MAC004982,766,2012-01-25,2014-02-28,2680.979,3.4999725848563967,32.5839999,4.229126980088693
MAC004983,766,2012-01-25,2014-02-28,12222.9159967,15.956809395169712,43.05400040000001,8.712230264838006
MAC004984,766,2012-01-25,2014-02-28,8712.9739998,11.374639686422977,25.101999999999997,3.0656737860789276
MAC004985,765,2012-01-26,2014-02-28,7435.4570007,9.719551634901961,27.8650001,4.201161770375081
MAC004986,765,2012-01-26,2014-02-28,4147.2929996,5.421298038692811,19.992000000000004,4.029668018731646
MAC004987,765,2012-01-26,2014-02-28,13122.2979995,17.153330718300655,26.141000100000007,4.103126432551164
MAC004988,765,2012-01-26,2014-02-28,8420.3430015,11.006984315686275,24.970000100000004,5.2624540833715585
MAC004989,765,2012-01-26,2014-02-28,7328.6079999,9.579879738431373,34.908000099999995,4.239703112530269
MAC004990,765,2012-01-26,2014-02-28,6685.0049999,8.738568627320262,19.515,1.3076078445990715
MAC004991,627,2012-01-27,2013-10-14,8830.9330003,14.08442264800638,35.1469997,8.688922603048164
MAC004992,764,2012-01-27,2014-02-28,4670.6719999,6.1134450260471205,17.578000000000007,1.7208156407847925
MAC004993,764,2012-01-27,2014-02-28,40768.8090069,53.362315454057594,199.8180004,34.562245116842796
MAC004994,764,2012-01-27,2014-02-28,4413.1849997,5.7764201566753925,14.7249999,1.9387064903172446
MAC004995,521,2012-01-27,2013-06-30,10285.772997,19.74236659692898,57.94900050000001,11.438596895467114
MAC004996,764,2012-01-27,2014-02-28,23997.4259942,31.410243447905756,64.02199999999999,14.883497082724022
MAC004997,436,2012-01-27,2013-04-06,10000.7310053,22.93745643417431,44.1750005,6.116573158784587
MAC004998,764,2012-01-27,2014-02-28,5328.476999500001,6.974446334424084,8.759000099999996,0.6499035417934187
MAC004999,764,2012-01-27,2014-02-28,8094.4509993,10.59483115091623,29.233,4.206613074948305
MAC005000,764,2012-01-27,2014-02-28,6092.273,7.974179319371728,16.654000000000003,2.6908493069482966
MAC005001,713,2012-01-27,2014-01-08,17763.4969928,24.91374052286115,54.724,9.485625997390192
MAC005002,764,2012-01-27,2014-02-28,5513.7849997,7.21699607290576,21.581000000000003,3.2245727207717776
MAC005003,764,2012-01-27,2014-02-28,4222.3979999,5.526698952748691,10.944000000000004,1.5128043265735778
MAC005004,763,2012-01-28,2014-02-28,2385.8650001,3.126952817955439,9.415,1.0963247197998238
MAC005005,763,2012-01-28,2014-02-28,5580.763001,7.314237222804719,16.924999899999996,2.9841339022728643
MAC005006,763,2012-01-28,2014-02-28,4411.9220005,5.782335518348623,16.968,2.3515079319363896
MAC005007,763,2012-01-28,2014-02-28,3677.7169997,4.820074704718218,17.601999999999997,2.2823216098986387
MAC005008,763,2012-01-28,2014-02-28,11597.4049973,15.199744426343381,55.95000019999999,11.177976674932394
MAC005009,763,2012-01-28,2014-02-28,27593.1250054,36.1639908327654,75.80700069999997,14.59252175621055
MAC005010,763,2012-01-28,2014-02-28,2187.11,2.8664613368283094,8.709000000000003,1.28961350677743
