LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC001550,8447.2090001,13.035816358179012,14.794502046909104,63.38599969999999,0.0,648,Std,ACORN-M,Adversity,21.599699999444447,6.369027473626375,25.260803923529412,4.475532607608696,13.191880436413044,12.973928878879311
MAC001551,4149.6419996,6.413666150850078,1.85740003966514,21.26,0.0,647,Std,ACORN-N,Adversity,6.677383333888889,6.763373624725275,6.275499998039216,5.883486338797815,6.737409832786886,6.285982759051724
MAC001552,4221.5560001,6.524816074343122,3.7525400847997887,18.634000000000004,0.051,647,Std,ACORN-D,Affluent,6.926183333333333,8.311373626923077,5.3333529411764715,5.017327868852459,6.646513661202187,6.476818965732758
MAC001553,4332.5150001,6.685979938425926,4.312092403245909,21.3150001,0.496,648,Std,ACORN-C,Affluent,8.863605555555555,6.8075714291208795,6.04284313627451,4.791945652717391,6.549195651630435,6.740221983189655
MAC001554,3105.8730001000004,4.793013889043211,1.481152733440634,9.843999999999998,0.045,648,ToU,ACORN-Q,Adversity,4.232522222777778,4.985840659340659,4.917892156862746,5.081364130434783,5.172836956521739,4.642394396767242
MAC001555,4886.1590006,7.540368828086419,2.131098196925014,15.979999999999997,0.037,648,Std,ACORN-N,Adversity,7.874427776666667,7.3225989010989005,8.115382356862744,7.110217393478261,8.089728260326087,7.322519398060345
MAC001556,10595.7270012,16.351430557407408,10.793482250124582,58.89000000000001,2.0550001,648,ToU,ACORN-E,Affluent,25.64206666111111,13.362038464835166,18.60812746372549,8.968668479891305,16.609527182065218,16.24908189590517
MAC001557,4886.7350031000005,7.541257720833334,1.4806365585774304,10.916999999999998,0.236,648,Std,ACORN-Q,Adversity,7.835872226111111,7.618434071428571,7.68431373137255,7.097407613043478,6.458184782608696,7.970752161853448
MAC001558,2334.907,3.603251543209877,3.435107025727833,15.057,0.0,648,Std,ACORN-Q,Adversity,7.284005555555556,2.799203296703297,3.527343137254902,0.8399021739130437,3.6565108695652175,3.5821314655172416
MAC001559,6197.2519988,9.563660491975309,3.055140716763824,25.536999900000005,0.153,648,ToU,ACORN-J,Comfortable,11.620738886666667,8.855494504945055,11.057539210784313,7.423641303260871,9.262396736956521,9.683127153448275
