Feature_Set,Modelo,Configuracion,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Clusters,Ruido_%,Cluster_Mayor_%,Cluster_Menor_%,Ratio_Desbalance,BIC,AIC
Actuales,GMM + PCA,K=9,9,0.2204495377509683,1.2334194651880044,2074.4794450457603,9,0.0,30.336243730261934,0.371540033438603,81.65,48709.52382501444,48122.924725462515
Actuales,GMM + PCA,K=10,10,0.24479463505260768,1.295681884127868,2063.2523498255246,10,0.0,29.92754969347947,0.4644250417982537,64.44,48704.53955027104,48052.030439533504
Actuales,Agglomerative + PCA,K=2,2,0.6548139507479226,0.7934553517530507,3052.6247258295925,2,0.0,94.31543748838938,5.684562511610626,16.591503267973856,,
Actuales,Agglomerative + PCA,K=3,3,0.370633036699063,1.031721109966167,3424.3205875814974,3,0.0,56.32546906929221,5.684562511610626,9.908496732026144,,
Actuales,Agglomerative + PCA,K=4,4,0.3705501421437614,1.0177598143456787,2914.9608732011293,4,0.0,56.32546906929221,0.743080066877206,75.8,,
Actuales,Agglomerative + PCA,K=5,5,0.3102963644049431,1.2108605874533858,2578.3189211944728,5,0.0,56.32546906929221,0.743080066877206,75.8,,
Actuales,Agglomerative + PCA,K=6,6,0.31905961584297887,1.0949353104699566,2450.8163580164187,6,0.0,56.32546906929221,0.743080066877206,75.8,,
Actuales,Agglomerative + PCA,K=7,7,0.27160664933041684,1.0610795931968042,2380.9647911882744,7,0.0,47.70574029351663,0.743080066877206,64.2,,
Actuales,Agglomerative + PCA,K=8,8,0.28698516873402313,1.0651529551046577,2382.334225311231,8,0.0,47.70574029351663,0.743080066877206,64.2,,
Actuales,Agglomerative + PCA,K=9,9,0.2942681117117115,1.0047740876846616,2440.1644384848787,9,0.0,47.70574029351663,0.743080066877206,64.2,,
Actuales,Agglomerative + PCA,K=10,10,0.24777792504574936,1.0669070359777728,2435.03423734267,10,0.0,25.56195430057589,0.743080066877206,34.4,,
Mejoradas,KMeans + PCA,K=2,2,0.2925721221918667,1.2921467623006953,2574.3232277189604,2,0.0,56.362623072636076,43.637376927363924,1.2916134525329928,,
Mejoradas,KMeans + PCA,K=3,3,0.2812006414706692,1.1859057761024372,2405.771483130506,3,0.0,45.327884079509566,11.220509009845811,4.039735099337748,,
Mejoradas,KMeans + PCA,K=4,4,0.21426997978715154,1.3436618697721876,2095.2135287595374,4,0.0,42.151216793609514,9.158461824261565,4.602434077079107,,
Mejoradas,KMeans + PCA,K=5,5,0.21454390230290782,1.3360643032385426,1888.4394785564193,5,0.0,39.34608954114806,6.929221623629946,5.67828418230563,,
Mejoradas,KMeans + PCA,K=6,6,0.2157671564283838,1.3280224239379015,1715.3893453617256,6,0.0,31.17220880549879,4.049786364480773,7.697247706422019,,
Mejoradas,KMeans + PCA,K=7,7,0.18587916404580765,1.3456185496462634,1607.9809079237616,7,0.0,25.8777633289987,3.7711313394018204,6.862068965517241,,
Mejoradas,KMeans + PCA,K=8,8,0.18786404288908212,1.3661106007285095,1487.3449735870531,8,0.0,23.29556009660041,3.4738993126509383,6.705882352941177,,
Mejoradas,KMeans + PCA,K=9,9,0.18948580339248647,1.335239315610748,1400.0304639913866,9,0.0,23.38844510496006,1.7648151588333643,13.25263157894737,,
Mejoradas,KMeans + PCA,K=10,10,0.18672651414890917,1.347907760518573,1326.9744542158478,10,0.0,22.12520899126881,1.950585175552666,11.342857142857143,,
Mejoradas,GMM + PCA,K=2,2,0.2732080874712362,2.181167964973038,904.4451724187642,2,0.0,73.76927363923463,26.23072636076537,2.8123229461756374,91597.8926987898,91327.6616529288
Mejoradas,GMM + PCA,K=3,3,0.07589799703013711,2.557346733931389,785.8705649259966,3,0.0,56.77131710941854,18.428385658554706,3.0806451612903225,90665.04459356863,90256.40252421785
Mejoradas,GMM + PCA,K=4,4,0.07391340497088382,2.575054004435356,767.7458694735535,4,0.0,42.374140813672675,12.279398105145829,3.4508320726172466,90310.478060778,89763.42496793743
Mejoradas,GMM + PCA,K=5,5,0.01818724862940669,2.8757755875294784,555.9979812579492,5,0.0,35.853613226825196,9.028422812558052,3.97119341563786,89681.68256753359,88996.21845120324
Mejoradas,GMM + PCA,K=6,6,0.04469946913246463,2.3222745941466774,763.7243942852245,6,0.0,26.397919375812744,5.517369496563255,4.784511784511785,90002.36687893828,89178.49173911817
Mejoradas,GMM + PCA,K=7,7,0.005576665463932749,3.005425518047975,587.7971875371527,7,0.0,21.437859929407395,5.628831506594835,3.8085808580858087,89651.92188660795,88689.63572329805
Mejoradas,GMM + PCA,K=8,8,-0.0024542283878720562,3.2432122380042827,487.7633382790628,8,0.0,22.645365038082854,5.1458294631246515,4.40072202166065,89551.19490571272,88450.49771891304
Mejoradas,GMM + PCA,K=9,9,0.0016340184086850163,3.2171700518367725,457.62409579505993,9,0.0,21.233512911016163,1.8948541705368753,11.205882352941176,89614.02711613667,88374.91890584721
Mejoradas,GMM + PCA,K=10,10,0.0013590395122616535,2.2825029890425155,512.4753336250425,10,0.0,26.657997399219767,3.5110533159947983,7.592592592592593,89409.04679226539,88031.52755848615
Mejoradas,Agglomerative + PCA,K=2,2,0.215534705102488,1.4753102568900849,1703.0049870374396,2,0.0,58.647594278283485,41.352405721716515,1.4182389937106918,,
Mejoradas,Agglomerative + PCA,K=3,3,0.22045929056461103,1.5817116607920514,1588.339379747625,3,0.0,41.352405721716515,19.61731376555824,2.1079545454545454,,
Mejoradas,Agglomerative + PCA,K=4,4,0.22621701460514798,1.4918698294954762,1439.3864052845895,4,0.0,41.352405721716515,3.5296303176667285,11.715789473684211,,
Mejoradas,Agglomerative + PCA,K=5,5,0.14678766409053112,1.4518159810986464,1336.2836930344522,5,0.0,41.352405721716515,3.5296303176667285,11.715789473684211,,
Mejoradas,Agglomerative + PCA,K=6,6,0.1613942439477406,1.4266765619577741,1285.2200425629158,6,0.0,41.352405721716515,3.5296303176667285,11.715789473684211,,
Mejoradas,Agglomerative + PCA,K=7,7,0.1203938522267328,1.5573501472949605,1218.444774216801,7,0.0,29.221623629946126,3.5296303176667285,8.278947368421052,,
Mejoradas,Agglomerative + PCA,K=8,8,0.12548413568870245,1.4649503761393583,1138.5444287459352,8,0.0,29.221623629946126,0.7616570685491362,38.36585365853659,,
Mejoradas,Agglomerative + PCA,K=9,9,0.12513333101579516,1.44893982768714,1072.410297879824,9,0.0,24.78172023035482,0.7616570685491362,32.53658536585366,,
Mejoradas,Agglomerative + PCA,K=10,10,0.12364203250457981,1.4684519198390313,1023.1401353968134,10,0.0,22.886866059817944,0.7616570685491362,30.048780487804876,,
Comportamiento,KMeans + PCA,K=2,2,0.49193861899772096,0.9496645660674866,3162.526951082443,2,0.0,85.90005573100503,14.099944268994985,6.092226613965744,,
Comportamiento,KMeans + PCA,K=3,3,0.27599929528376577,1.4269284930399013,2415.9413150239693,3,0.0,62.34441761099758,7.820917703882594,7.971496437054632,,
Comportamiento,KMeans + PCA,K=4,4,0.2585561457728494,1.294537160285587,2121.1002675958207,4,0.0,57.03139513282556,7.0964146386773175,8.036649214659686,,
