LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,tarifa_enc,acorn_enc,ratio_invierno_verano_clip,cluster_kmeans_pca,PCA_1,PCA_2,cluster_dbscan_review,ratio_finde_semana,coef_variacion,intensidad_pico,peso_invierno,peso_verano,delta_invierno_verano,delta_finde_semana,consumo_estacionalidad,consumo_regularidad,consumo_total_log,consumo_medio_log,consumo_std_log,consumo_max_log,consumo_invierno_log,consumo_verano_log,consumo_finde_log,consumo_semana_log,ratio_finde_semana_clip,coef_variacion_clip,intensidad_pico_clip,peso_invierno_clip,peso_verano_clip,consumo_estacionalidad_clip,consumo_regularidad_clip,cluster_candidato,PCA_1_candidato,PCA_2_candidato
MAC002608,4137.923000000001,6.989734797297299,1.626162563016993,17.022000100000003,7.497322222777777,6.438789855072464,7.591892855952381,6.751143868396227,1.1643990916200366,592,Std,Affluent,0,3,1.1643990916200366,0,-1.3164413371596775,-0.29509025157200325,0,1.1245341351645262,0.23265007579339073,2.4352851944106173,1.0726188285509655,0.9211778587628637,1.058532367705313,0.8407489875561538,0.15144096978810165,4.298282295019624,8.328190888048264,2.0781575673997,0.965523679150008,2.8915932393616193,2.139751081248693,2.0067081817273125,2.150819067478371,2.047840428396143,1.1245341351645262,0.23265007579339073,2.4352851944106173,1.0726188285509655,0.9211778587628637,0.15144096978810165,4.298282295019624,3,-1.3404772900318298,-0.9082479339907328
MAC002609,3417.3309987,5.772518578885135,3.8817754471231662,24.12800000000001,6.51153333,5.518942028985507,5.020851185119048,6.070349055660378,1.179851521532548,592,ToU,Affluent,1,3,1.179851521532548,0,-1.3811399985228594,0.11231092697931207,0,0.8271106507996666,0.6724577360156595,4.179803926218978,1.1280227361753865,0.9560715998561234,0.9925913010144924,-1.0494978705413303,0.17195113631926298,1.4870800934567872,8.136907698863979,1.9128730382565007,1.5855089748299924,3.223982762236346,2.016439616706796,1.8747120972790718,1.7952286422026171,1.9559098500702892,0.8271106507996666,0.6724577360156595,4.179803926218978,1.1280227361753865,0.9560715998561234,0.17195113631926298,1.4870800934567872,0,-1.1539763672270174,1.1410926454083128
MAC002610,5917.1309999000005,9.995153716047298,5.529056885331799,31.3789999,5.674227777222223,12.317181157971016,9.31204166547619,10.265820754952829,0.4606758026672658,592,Std,Comfortable,0,4,0.4606758026672658,0,-0.10626953775276864,-1.299302287555167,0,0.907091695896972,0.5531737169065383,3.139421128681558,0.5676978434473062,1.232315207507062,-6.642953380748793,-0.9537790894766385,0.6646173640597559,1.8077471175692852,8.685775968554971,2.3974546044499068,1.8762625048839248,3.4775100614228975,1.8982535087881878,2.5890550179396095,2.333312306113226,2.4217734300808034,0.907091695896972,0.5531737169065383,3.139421128681558,0.7548840845822183,1.2011164963291405,0.6646173640597559,1.8077471175692852,3,-0.13367759967757506,-1.359345971107474
MAC002611,8104.8670023,13.690653720101352,14.75033096925447,88.6770003,25.821944452777775,3.259050723913044,12.720636924404763,14.07499999764151,7.923146559261769,592,Std,Affluent,0,3,5.28946411378567,1,3.4846550299414427,5.833244022114567,0,0.9037752058800073,1.0774014297210524,6.477192078315999,1.8861000427440928,0.2380492964392661,22.56289372886473,-1.3543630732367475,1.6480507463048266,0.9281582929592127,9.000343399738084,2.6872114902236466,2.7568613789717715,4.49621432927495,3.289220375329098,1.4490463006877283,2.618901044281794,2.7130377424567986,0.9037752058800073,1.0774014297210524,6.477192078315999,1.781545373058072,0.32004880125570706,1.4569365740349105,0.9281582929592127,2,6.123824087861211,8.344661948264498
MAC002612,2763.4360004,4.667966216891892,5.8591088355321395,38.412000100000014,2.4142166677777777,5.05018115942029,4.90550595297619,4.573846698820755,0.4780454628303755,592,Std,Comfortable,0,4,0.4780454628303755,0,-1.5127377137372098,-0.3379162485030133,0,1.0725118709660895,1.255173518427868,8.228849585960925,0.5171880083136603,1.0818801685550161,-2.635964491642512,0.3316592541554355,0.5646921602413558,0.7967019608177839,7.924591914994546,1.7348303614881397,1.9255775259422714,3.6740703409975266,1.2279480868510753,1.8000882153002793,1.7758851281085744,1.7180854257789173,1.0725118709660895,1.1245449640162424,8.228849585960925,0.7548840845822183,1.0818801685550161,0.5646921602413558,0.8892503257474073,0,-1.877551377572366,2.6549752233906028
MAC002614,8374.0210007,14.145305744425675,2.51240837103898,25.20100009999999,14.5408,13.514072461594203,15.521119051190476,13.600172170047172,1.0759746157458492,592,ToU,Affluent,1,3,1.0759746157458492,0,0.9379854201757233,-1.213744671325271,0,1.141244222196668,0.1776142728067074,1.7815803188524773,1.027959326914574,0.9553750021659851,1.0267275384057974,1.9209468811433048,0.07258432474858886,5.630146463183183,9.033008864236391,2.7176906320882837,1.2563019477826594,3.2657975817942533,2.7434688236659293,2.6751186933744324,2.8046395049748165,2.6810333211137447,1.141244222196668,0.1776142728067074,1.7815803188524773,1.027959326914574,0.9553750021659851,0.07258432474858886,5.630146463183183,1,0.9228360766634597,-2.7090603156315414
MAC002615,3595.7509994,5.472984778386606,2.5103686998830272,16.342,5.953844445,5.168711954891305,6.367808508510638,5.114292110447761,1.151900772389711,657,Std,Affluent,0,3,1.151900772389711,0,-1.6465180955063956,-0.0545320604850308,0,1.2451004216989687,0.4586835781296447,2.9859386926485847,1.0878603903032884,0.9444044191203802,0.7851324901086949,1.2535163980628772,0.14345597118290812,2.180147420865228,8.187786216779063,1.867637328005936,1.2557210746628933,2.8531313049549687,1.9392946641954134,1.8194900567871293,1.9971203089994498,1.81062899963316,1.2451004216989687,0.4586835781296447,2.9859386926485847,1.0878603903032884,0.9444044191203802,0.14345597118290812,2.180147420865228,3,-1.7326149938804338,0.058257379953269066
MAC002616,3940.3270004,5.970192424848485,2.7541867874777672,17.684999999999995,7.268394446666667,5.152777175,6.572914893617022,5.730125000847457,1.410577789265432,660,Std,Affluent,0,3,1.410577789265432,0,-1.411718659958887,0.24372034286368915,0,1.147080342150403,0.46132287373045444,2.9622155835677657,1.217447062337202,0.8630837911471468,2.1156172716666672,0.8427898927695647,0.354363271190055,2.167674505794788,8.279272747718853,1.9416428319736294,1.322871693846506,2.927721062937447,2.112440348309351,1.8169035530606783,2.0245780519353036,1.9065937171613332,1.147080342150403,0.46132287373045444,2.9622155835677657,1.217447062337202,0.8630837911471468,0.354363271190055,2.167674505794788,3,-0.941621469870322,0.8370109117484096
MAC002617,6106.0749987,13.131344083225809,5.994981566730765,32.5780002,14.347577769999996,10.674235296470588,15.75201502706767,12.081496988253011,1.3441315492279289,465,Std,Affluent,0,3,1.3441315492279289,0,0.9472820659535518,-0.29474432249787186,0,1.3038130737085376,0.45653979304746556,2.480933978470771,1.092620571545852,0.8128820946230427,3.6733424735294076,3.6705180388146594,0.2797384769228093,2.1903847700549997,8.717203213923884,2.648395314835394,1.9451929729075055,3.513871096570487,2.730957661581476,2.457384302178151,2.818518551159039,2.5711987881235028,1.3038130737085376,0.45653979304746556,2.480933978470771,1.092620571545852,0.8128820946230427,0.2797384769228093,2.1903847700549997,1,1.6849949891889218,-0.7774733669773753
MAC002618,5544.5689994,8.400862120303032,2.493058120604813,25.164000399999992,8.748200001666666,8.647722826086957,9.098079783510638,8.12315677987288,1.0116188002300224,660,ToU,Adversity,1,2,1.0116188002300224,0,-0.6643643207146345,-0.586151557597887,0,1.1200176126153019,0.29676214037812876,2.9954065480705383,1.0413453803959973,1.0293850408284027,0.1004771755797087,0.9749230036377572,0.011960339567594853,3.3696907194263517,8.620754509380157,2.240801399996256,1.2507776048516857,3.2643844353871483,2.2770826527525942,2.2667219109327426,2.31234528532754,2.210815882338209,1.1200176126153019,0.29676214037812876,2.9954065480705383,1.0413453803959973,1.0293850408284027,0.011960339567594853,3.3696907194263517,3,-0.650857279215322,-1.5105775069751939
