LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,tarifa_enc,acorn_enc
MAC000012,1075.9349998000002,2.117982283070867,2.1647999079856053,14.989999900000004,1.2393833333333337,1.322554347826087,2.033416666666667,2.151436812637363,0.9371126398381248,508,Std,Affluent,0,3
MAC000013,3221.6890000000003,5.272813420621932,1.2620671858203538,9.487000000000002,5.804394444444444,4.868025477707006,5.26412643678161,5.276272311212815,1.1923506314161416,611,Std,Adversity,0,2
MAC000014,3096.9529991,6.256470705252525,1.594533036884972,15.193,7.020938882777778,4.86960869673913,6.382228567142857,6.206876055492958,1.4417867796425774,495,ToU,Adversity,1,2
MAC000015,8809.4809998,10.88934610605686,4.611606311919886,35.278999799999994,12.903359071428572,8.96928260923913,10.357426086086956,11.10064421416235,1.4386164640994301,809,ToU,Affluent,1,3
MAC000016,496.3670000000001,1.2378229426433918,1.7901808514986186,7.370999999999999,2.937301587301587,0.3608478260869567,1.2361140350877196,1.2385017421602789,8.13997822621089,401,Std,Adversity,0,2
MAC000017,5148.1780005,6.363631644622991,2.356648541243821,32.5890001,7.240084943629344,5.805701085869566,6.580630436086957,6.277431779274612,1.2470644956534898,809,ToU,Affluent,1,3
MAC000018,8630.310999700001,10.681077969925743,3.6203448321690344,33.9949999,11.417488372480621,9.80501086847826,10.782978256521742,10.640529412975779,1.1644543143477724,808,Std,Affluent,0,3
MAC000019,5009.0640006,6.199336634405941,2.187548909958816,13.232000000000005,7.337387597286822,5.556521739673913,6.433556523478262,6.106134948442907,1.320499877539855,808,Std,Adversity,0,2
MAC000020,5286.3220004,6.542477723267328,2.286214768296709,16.343,8.037709300775193,5.526652175000001,6.7207695665217395,6.471531142041522,1.4543538460372432,808,Std,Comfortable,0,4
MAC000021,18137.3190007,22.44717698106436,5.891810759539259,46.180999799999995,24.451968989534883,17.66792391576087,19.628404344782606,23.568833912456746,1.3839751473995812,808,Std,Affluent,0,3
MAC000022,10128.455999400001,12.535217821039605,6.890230792160859,27.207000000000004,19.449050387596902,5.4944184782608705,12.53178260826087,12.536584774221454,3.539782585685111,808,Std,Adversity,0,2
MAC000023,11553.3689997,14.298724009529703,5.839365866191738,27.73900009999999,16.136635662403105,9.766461955434782,13.800860869565218,14.496835639619377,1.6522497178390965,808,Std,ACORN-U,0,1
MAC000024,16735.339995,20.712054449257423,13.003488873515872,70.52699979999998,32.74610076434108,8.226233702173912,19.745065210869562,21.09684255449827,3.9806912822080567,808,Std,Affluent,0,3
MAC000025,3849.5540000999995,4.7642995050742565,1.121924536710819,7.851000000000001,4.781988374806201,4.812945652717391,4.777569566521738,4.759019030795848,0.9935677080705412,808,Std,Adversity,0,2
MAC000026,10004.9870014,12.382409655198021,5.449676742568603,33.821000000000005,12.048364342248062,10.439826085869566,8.644065216956522,13.869986161764707,1.154077001769088,808,Std,Affluent,0,3
MAC000027,7221.7390001,8.937795792202971,2.011712818432287,17.3719999,9.05375193875969,8.905119564130434,10.715026086956522,8.230593425778547,1.0166905516392377,808,Std,Comfortable,0,4
MAC000028,3184.8119999000005,4.79640361430723,2.208627006086608,10.195999999999998,6.406089285714286,3.3333967391304355,4.624931578421053,4.8651371308016875,1.9217896533959387,664,Std,Affluent,0,3
MAC000029,2740.692001,3.391945545792079,1.260495248503131,9.991,3.4655852705426353,3.2371956543478264,3.5493000008695645,3.329330451211073,1.070551356800664,808,Std,Adversity,0,2
MAC000030,9185.3100004,11.367957921287129,6.61903729304003,45.6249997,14.46342636124031,7.334815219021739,15.008813049565216,9.919174738754325,1.9718866743697812,808,Std,Affluent,0,3
MAC000031,16130.544997500001,19.96354578898515,8.761645284248525,55.88099939999999,23.955042643410856,14.10170109130435,23.312252158695653,18.63101557266436,1.6987341306963544,808,ToU,Adversity,1,2
MAC000032,10301.3859961,12.749240094183168,7.531594385191262,32.1369999,19.02569766046512,5.527423914130435,12.899356518260868,12.689505184948096,3.442054474919667,808,Std,Adversity,0,2
MAC000033,6109.9070001,7.561766089232673,1.8049666150021937,20.974999899999997,8.018844961627906,7.1098369559782615,7.795260869565217,7.468852941349481,1.1278520004644144,808,Std,Affluent,0,3
MAC000034,21996.8509949,27.223825488737624,20.50017067065029,73.36000049999998,46.80301547403101,7.104978260869565,27.141839125652172,27.256449820069204,6.587354270236514,808,Std,Affluent,0,3
MAC000035,18307.334997500002,22.657592818688123,10.466156231847107,69.73999959999998,30.015856586821705,14.625668483695652,20.66651738347826,23.449889272145327,2.0522723161686836,808,Std,Affluent,0,3
MAC000036,2154.409,2.666347772277228,0.35284086453068797,4.328000000000002,2.528298449612403,2.906875,2.804452173913044,2.611392733564014,0.8697648092358954,808,Std,Affluent,0,3
MAC000037,64.827,0.08023143564356436,0.2228165868542248,0.992,0.07531007751937985,0.10155434782608695,0.0424,0.09528546712802768,0.7415668315995333,808,Std,Affluent,0,3
MAC000038,9165.6399974,11.357670380916977,4.913157264816908,36.6520004,13.715704277042803,8.602309780434783,13.631630428695651,10.451239166031195,1.5944209209736988,807,Std,Adversity,0,2
MAC000039,7320.2780023000005,9.070976458859976,3.220472421733669,19.422999899999997,9.639883271206225,8.197548913586957,8.901843483043478,9.138395149393416,1.1759468832545548,807,Std,Comfortable,0,4
MAC000040,21543.322001700002,26.695566297026026,9.141703522744555,75.1580009,29.48080545291829,24.118706526086957,26.123121738695655,26.923750436395146,1.2223211140576937,807,Std,Affluent,0,3
MAC000041,6783.2880003,8.40556133866171,3.6408712503067457,22.628,11.011626459533074,5.031429347826087,7.829673913043478,8.635117851473137,2.188567802452205,807,Std,Adversity,0,2
MAC000042,7460.6609993,9.244933084634448,3.17099174664418,17.389999999999993,9.516428014396888,8.483418476630435,9.633352175217393,9.09010398440208,1.121767942822127,807,Std,Adversity,0,2
MAC000043,2855.3900000000003,3.5382775712515495,2.273579252554811,25.542,4.706105058365759,2.6511902173913047,3.5905434782608694,3.5174436741767767,1.7750907695735467,807,Std,Comfortable,0,4
MAC000044,11462.5699994,14.203928128128872,4.641289841430746,30.011,16.699568091439687,10.511603261956523,16.6631739126087,13.22363951386482,1.5886792991131309,807,ToU,Comfortable,1,4
MAC000045,16617.7220025,20.591972741635686,8.038794059315475,68.91900030000001,25.277424121011673,17.67557609673913,20.590913050869567,20.592395148700174,1.4300763127940508,807,Std,Affluent,0,3
MAC000046,10593.3829993,13.126868648451053,3.638342732563797,33.103999900000005,15.881778205447471,11.172277176086956,14.571252170000001,12.551117851299827,1.421534440436749,807,ToU,Adversity,1,2
MAC000047,4274.513,5.296794299876084,1.282691904126004,14.544999999999998,5.346182879377432,5.23666847826087,5.371047826086956,5.267195840554593,1.0209127961142455,807,Std,Adversity,0,2
MAC000048,5398.2320009000005,6.689258985006196,3.6590388452399707,31.21999999999999,8.06814396848249,6.944994568478262,6.30576087173913,6.8421265171577135,1.1617205351579978,807,ToU,Affluent,1,3
MAC000049,29836.1869993,36.971731101982655,9.147637504346804,85.41499960000003,41.56037742607003,30.835755444565216,38.48597390434783,36.36813345112652,1.3477982127918586,807,Std,Affluent,0,3
MAC000050,11446.3679959,23.359934685510204,7.315145049569494,47.356000000000016,25.874155673652698,22.760326068478268,25.77814999,22.392648563714285,1.1368094841434375,490,Std,Affluent,0,3
MAC000051,12468.628001000001,15.450592318463446,5.099861104636758,43.5139999,16.707264591828793,13.48114673097826,14.896556524782607,15.671438475389948,1.2393058013478524,807,ToU,Comfortable,1,4
MAC000052,5527.7149989,6.849708796654275,4.685583610732804,28.385000199999997,10.499077818287937,3.8954239130434787,7.673391303478261,6.521377814731369,2.695233011200581,807,ToU,Affluent,1,3
MAC000053,6663.556999,8.267440445409429,2.418308150176448,17.586999900000002,9.827785153515624,7.083445652173912,7.672617391304348,8.50495659548611,1.387429825634315,806,Std,Comfortable,0,4
MAC000054,7695.7799999,9.548114143796527,1.2872396414766933,14.026999999999996,9.736718750000001,9.63691847771739,10.382130433913044,9.215086805729166,1.0103559309085615,806,Std,Adversity,0,2
MAC000055,10239.7769977,12.70443796240695,4.188361101947655,32.242000000000004,14.121992181640625,11.768086957608693,11.936517387826086,13.0110729140625,1.2000243567613724,806,Std,Adversity,0,2
MAC000056,4902.4190001,6.082405707320099,2.180869979432266,23.633999900000006,5.939179687500001,6.152793477717391,6.60323043478261,5.874437500173611,0.9652816633172122,806,Std,Adversity,0,2
