LCLid,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,cluster,PC1,PC2
MAC005324,14.831425848979592,3.5736206210681183,30.6509999,15.047816216756756,15.081934783152176,16.278966663333332,14.252409523238097,0.9977377196875792,735,ToU,Affluent,0,1.9206962903789448,-1.160803521153805
MAC005325,10.251097958367346,2.583731525202007,21.043999899999992,10.389762157837838,10.05792935,11.841414285238097,9.614971427619048,1.0329920566449178,735,Std,Comfortable,0,0.4486048247912003,-0.8291302056671019
MAC005326,6.549201908049113,3.896443702099973,27.9550002,8.590267760109288,5.182739130434783,6.598216344711539,6.5297828550476185,1.6574760732579208,733,Std,Affluent,0,-0.41254562095012304,0.7998198310837821
MAC005327,32.8852755781719,18.613227344298807,82.85700010000002,51.8961912453552,14.016320649456524,34.32072595384615,32.316563810285714,3.702554246631993,733,Std,Affluent,2,6.133778846524931,2.5135426095290176
MAC005328,3.687772168485675,0.7690192305193039,6.299999999999998,3.935765027322405,3.4630380418478266,3.8043076923076926,3.641601903809524,1.1365061091607962,733,Std,Adversity,1,-3.4877055568066715,-0.051330311997268424
MAC005329,13.056765347885404,4.613137413221205,27.894000199999994,13.909448085792352,11.125815216847828,13.317764422596156,12.953360000190475,1.2501957442663192,733,Std,Affluent,0,1.5554103737705178,-0.4883474037279304
MAC005330,6.590920873260574,2.4104026112743195,18.981000100000006,7.527683060655738,5.921429348913044,7.850528845673077,6.0918761908571435,1.2712609314128878,733,Std,Comfortable,0,-0.8562001973998025,-0.00949239015785365
MAC005331,9.427985633189657,3.1093271115075973,17.481000099999996,9.377045981034485,8.48262345617284,9.616939394949496,9.35285943875502,1.1054416035370715,696,Std,Affluent,0,0.10724241214727086,-0.5762937437090533
MAC005332,6.703349248021828,2.60522960407831,28.297999899999994,7.335234968306011,5.992760870108696,7.757639421153846,6.285649522285714,1.2240157588929803,733,Std,Adversity,0,-0.6066563061233177,0.020175795437000127
MAC005333,8.76783569490085,6.148284480474889,37.2430001,12.337826921794871,5.819663045652175,8.127313433333333,9.02277623861386,2.120023909457861,706,Std,Affluent,0,0.8342701034334473,1.3365901519040395
MAC005334,2.620051841473397,1.4756576987709076,12.608000099999998,3.079846994535519,2.02475,2.944783653846154,2.491396190095238,1.5210991349235137,733,Std,Affluent,1,-3.7250019256956013,1.1190075031174116
MAC005335,32.839274715796705,13.996838609622564,79.6100003,42.178258405056184,22.101695641304342,32.22365863461538,33.08552114826923,1.90837197205178,728,Std,Adversity,2,5.7012862904896275,-0.038371491540121545
MAC005336,9.833143244611186,7.8733785385832284,35.891000299999995,19.487781410382514,4.215847828804348,10.643918271634616,9.51192190057143,4.622504791261555,733,Std,Adversity,2,1.8198863209690836,4.496558969265515
MAC005337,9.275930419236015,3.1071334460155753,22.8440001,9.37266118579235,8.272494566847826,9.101278836538462,9.34512571295238,1.1329907776987465,733,Std,Adversity,0,0.18714575416390847,-0.42615444082874365
MAC005338,9.103866303683493,2.8191297203109515,28.1449999,11.2261147579235,6.968342389673914,9.671182695673078,8.879100952190477,1.6110162961485208,733,Std,Adversity,0,0.3488112845154289,0.2563895371192606
MAC005339,3.0522578444747617,0.8379019810654998,6.369999999999999,3.094316939890711,2.9868532608695655,3.210144230769231,2.989704761904762,1.0359785478752686,733,Std,Adversity,1,-3.9570458010129768,0.01851865273725857
MAC005340,17.561497953478856,7.294635753920394,31.1010001,25.16168304262295,10.463869563586956,17.546769246634614,17.567333326857142,2.4046248364522644,733,Std,Adversity,2,2.959368573055273,0.9620243125202236
MAC005341,27.781266387295084,15.83450891504268,98.80399970000002,46.62598900329671,13.496972835326089,27.094509617307697,28.05387212805344,3.454551336630803,732,ToU,Comfortable,2,5.640922890659631,2.3143437051923397
