casa,horario_consumo,semanal,tipo_consumo,cluster_horario,cluster_semanal,cluster_tipo_consumo,stdorToU,Acorn_grouped
MAC000120,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000121,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000122,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000123,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000124,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Comfortable
MAC000125,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000126,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000127,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000128,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000129,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000130,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000131,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000132,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000133,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000134,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,Std,Adversity
MAC000135,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000136,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000137,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000138,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000139,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000140,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000141,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000142,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
