casa,horario_consumo,semanal,tipo_consumo
MAC000093,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000094,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000095,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000096,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000097,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000098,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000099,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000100,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000101,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000102,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000103,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000104,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000105,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000106,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000107,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000108,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000109,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000110,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000111,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000112,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000113,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000114,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000115,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000116,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000117,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000118,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000119,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000120,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000121,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000122,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000123,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000124,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000125,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000126,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000127,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000128,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000129,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000130,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000131,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000132,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000133,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000134,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000135,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000136,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000137,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000138,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000139,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000140,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000141,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000142,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000143,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000144,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000145,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000146,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000147,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000148,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000149,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000150,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000151,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000152,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000153,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000154,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000155,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000156,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000157,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000158,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000159,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000160,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000161,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000162,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000163,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000164,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000165,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000166,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000167,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000168,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000169,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000170,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000171,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000172,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000173,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000174,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000175,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000176,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
