LCLid,log_consumo_mediana,intensidad_pico_diario_clip,ratio_invierno_verano_clip,ratio_finde_semana_clip,share_madrugada,share_manana,share_tarde,share_noche,peak_to_avg_period_clip,periodo_pico_sin,periodo_pico_cos
MAC000073,1.4609379041156565,3.48383182487959,0.9421528754327763,1.2287749932826146,0.13091359373046063,0.2418995671293149,0.2813873079358655,0.3457995308878215,1.589298234014543,-0.8660254037844386,0.5000000000000001
MAC000074,2.6782093590911886,1.8583447209598563,1.2899482765883816,1.0669916328660451,0.11198398242920288,0.22088392994461897,0.2613746404594069,0.40575744707584505,1.7592674202208396,-0.923879532511287,0.38268343236508917
MAC000075,1.691570741972623,6.708793756972649,1.2962676797226143,1.2120013357178854,0.19603200660772438,0.23720473589175525,0.24774003011259618,0.3190232271498008,1.567553875665798,-0.7071067811865477,0.7071067811865474
MAC000076,2.9496098005552187,2.0639243064593993,1.1473178726244317,1.1272535805927264,0.10098438988569354,0.20757094969808343,0.3303768109646668,0.36106784938396,1.973864361042092,-0.9659258262890684,0.2588190451025203
MAC000077,1.9214710757497122,1.4706653142643993,1.0943496296781743,0.9759176152267678,0.1625127829508871,0.15168267583964812,0.29160722788427496,0.3941973131135071,1.714076772899533,-0.7933533402912357,0.6087614290087199
MAC000078,1.6486586255873814,4.943526561872041,1.771850711724772,0.7700886205946982,0.11704568317011681,0.24401860112011567,0.19432107635432522,0.44461463910296944,2.445032806057154,-0.8660254037844386,0.5000000000000001
MAC000079,2.6762154775821916,3.960390648238558,2.047139961650814,1.159184861912894,0.15327358841561736,0.17548406910921516,0.30348962480542274,0.36775271759736466,1.611659263780391,-0.38268343236508956,0.9238795325112868
MAC000080,1.5526558983351162,2.310753117697407,1.0708675836073187,1.343054329621889,0.15091220277934594,0.148022537996138,0.2004065742662216,0.5006586844554817,2.5507725782479236,-0.7071067811865477,0.7071067811865474
MAC000081,2.614398645020755,2.1898146451609835,1.2937224496896493,1.212100532706389,0.10822482461720408,0.25564272039799496,0.2946844728053257,0.3414479820814075,1.6162477105727338,-0.9914448613738104,-0.13052619222005163
MAC000082,1.5895412807196434,4.846254085501811,1.0777981124713971,0.99735758696693,0.11948262141762275,0.14381001288469747,0.4060637986861576,0.3306435666987102,2.742392339184831,-1.0,-1.8369701987210297e-16
MAC000083,2.539236990386718,3.030057080031628,2.1650719598843913,1.165150525104025,0.17922290711880842,0.2429853339797626,0.2607149615208749,0.31707679729500204,1.5644303644260518,-0.9659258262890684,0.2588190451025203
MAC000084,2.6470609294757805,2.017322415364971,1.117603347478562,1.133439836844543,0.1789575641611044,0.25016999503729515,0.260630333975805,0.310242106734055,1.494248612839087,-0.9914448613738105,0.13052619222005127
MAC000085,3.33553823107611,2.264788516991936,1.411823382048885,1.1699673177616636,0.10205158669653557,0.17300796291785953,0.2554905048667408,0.46944994547382674,2.1594918011219337,-0.923879532511287,0.38268343236508917
MAC000086,1.7933415504107069,2.7881336641798535,1.1499676460727324,1.1713961045756498,0.17901923255518962,0.3279930017008328,0.29264506443794946,0.20034270110358174,1.5618303097883808,1.0,6.123233995736766e-17
MAC000087,2.7687061949755565,2.516167930639943,1.2927518884329674,1.109739706587936,0.15219693512189714,0.24498813554184204,0.2967347613476631,0.30608016790952536,1.5489776762215755,-0.8660254037844386,0.5000000000000001
MAC000088,2.7772963738390244,2.312112666833893,1.1453174789051397,1.119711509852796,0.1268634326250007,0.23712016356344462,0.3045680240416048,0.3314483796913468,1.5150408871613386,-0.923879532511287,0.38268343236508917
MAC000089,2.0270292003401056,3.954496409504855,1.9276819965299856,0.9421487913870845,0.10055072909989747,0.2682884992462977,0.23829366069143487,0.39286711078858355,2.1087545792720097,-0.9914448613738105,0.13052619222005127
MAC000090,2.7538836174453825,2.4009070779291055,2.2992696983138625,1.0330738676177689,0.2961454660604484,0.1700841237462014,0.3097643021268123,0.2240061079900117,4.3594767467063,0.13052619222005157,0.9914448613738104
MAC000091,1.9640306901685083,3.100161168301773,1.576406530184664,1.0104121507255313,0.15691664472352035,0.2773532071853833,0.2660280749991392,0.29970207289470674,1.5328796406956136,-0.9914448613738105,0.13052619222005127
MAC000092,1.680269093194692,3.9834393338564245,1.1764166592391279,0.7166307952005285,0.056646164533073626,0.40592107535262695,0.3032007957971604,0.23423196407130034,2.5701667568262825,0.7933533402912352,-0.6087614290087207
MAC000093,2.548194389023919,2.499668158439548,1.265413333122836,1.1126275127409793,0.09812316008822618,0.2068775690344487,0.2781259632751444,0.4168733074930202,2.370348051106299,-0.9914448613738105,0.13052619222005127
MAC000094,2.235269385709179,3.589982054963623,1.249396203075818,1.0499303486054963,0.2056268205002961,0.22796469668705796,0.22970977700498763,0.33669870568291177,1.4271702186749586,-0.923879532511287,0.38268343236508917
MAC000095,2.126563648748571,3.0054120052523454,1.0801531009835081,0.9976948507510934,0.1772571752430277,0.20892279695615676,0.2438168272705891,0.3700032003283121,1.725406965286683,-0.8660254037844386,0.5000000000000001
MAC000096,3.3943070276010205,2.3971832144517484,1.2611572503917017,0.9379037916527635,0.14502846139328548,0.23966130613356337,0.2644487231830446,0.35086150924703213,1.5053234292778048,-0.923879532511287,0.38268343236508917
MAC000097,2.9742021524492186,3.7668621302684606,1.1100361960741782,1.0782831542355584,0.11358716956244916,0.24001307370320882,0.30501697270080863,0.34138278397010563,2.2430545743262065,-1.0,-1.8369701987210297e-16
MAC000098,2.50254189733292,2.561673572640554,1.4358089659214175,1.0294944433905364,0.11871250351848751,0.22907736247752178,0.25715077971489053,0.3950593541790208,2.114993353680574,-0.923879532511287,0.38268343236508917
MAC000099,1.6665741038049096,1.7761412030488009,1.1385872027052162,0.9743902253784228,0.17975073873371203,0.22441093509267854,0.24676452282155648,0.349073803069046,1.6089924409891156,-0.8660254037844386,0.5000000000000001
MAC000100,2.4993846607551014,4.134054789948247,1.2225892537968623,1.280963124498167,0.08945665033614865,0.2896811742787317,0.3255378029604535,0.29532437232158837,1.737705937347417,-1.0,-1.8369701987210297e-16
MAC000101,2.509111338484818,2.3630231011380984,1.340271999291861,1.049428580372624,0.07731673727510648,0.3119728644365803,0.3383059464704653,0.2724044517075194,2.042583806999844,0.130526192220052,-0.9914448613738104
